Disease,OPCS4code,OPCS4codeDescr,Category,ICD10code,ICD10codeDescr
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B440,Invasive pulmonary aspergillosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B441,Other pulmonary aspergillosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B450,Pulmonary cryptococcosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B460,Pulmonary mucormycosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B583,Pulmonary toxoplasmosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B59,Pneumocystosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B671,Echinococcus granulosus infection of lung
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J100,"Influenza with pneumonia, other influenza virus identified"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J110,"Influenza with pneumonia, virus not identified"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J12,"Viral pneumonia, not elsewhere classified"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J13,Pneumonia due to Streptococcus pneumoniae
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J14,Pneumonia due to Haemophilus influenzae
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J15,"Bacterial pneumonia, not elsewhere classified"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J16,"Pneumonia due to other infectious organisms, not elsewhere classified"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J17,Pneumonia in diseases classified elsewhere
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J18,"Pneumonia, organism unspecified"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J20,Acute bronchitis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J21,Acute bronchiolitis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J22,Unspecified acute lower respiratory infection
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J440,Chronic obstructive pulmonary disease with acute lower respiratory infection
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J441,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J65,Pneumoconiosis associated with tuberculosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J850,Gangrene and necrosis of lung
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J851,Abscess of lung with pneumonia
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J852,Abscess of lung without pneumonia
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,J86,Pyothorax
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,P23,Congenital pneumonia
Fracture of wrist,,,Diagnosis of Fracture of wrist,S525,Fracture of lower end of radius
Fracture of wrist,,,Diagnosis of Fracture of wrist,S526,Fracture of lower end of both ulna and radius
Septicaemia,,,Diagnosis of Septicaemia,A021,Salmonella sepsis
Septicaemia,,,Diagnosis of Septicaemia,A207,Septicaemic plague
Septicaemia,,,Diagnosis of Septicaemia,A227,Anthrax sepsis
Septicaemia,,,Diagnosis of Septicaemia,A267,Erysipelothrix sepsis
Septicaemia,,,Diagnosis of Septicaemia,A327,Listerial sepsis
Septicaemia,,,Diagnosis of Septicaemia,A391,Waterhouse-Friderichsen syndrome
Septicaemia,,,Diagnosis of Septicaemia,A392,Acute meningococcaemia
Septicaemia,,,Diagnosis of Septicaemia,A393,Chronic meningococcaemia
Septicaemia,,,Diagnosis of Septicaemia,A394,"Meningococcaemia, unspecified"
Septicaemia,,,Diagnosis of Septicaemia,A40,Streptococcal sepsis
Septicaemia,,,Diagnosis of Septicaemia,A41,Other sepsis
Septicaemia,,,Diagnosis of Septicaemia,A427,Actinomycotic sepsis
Septicaemia,,,Diagnosis of Septicaemia,B377,Candidal sepsis
Septicaemia,,,Diagnosis of Septicaemia,P36,Bacterial sepsis of newborn
Gastro-oesophageal reflux disease,G24,Antireflux operations,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G241,Antireflux fundoplication using thoracic approach,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G242,Antireflux operation using thoracic approach NEC,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G243,Antireflux fundoplication using abdominal approach,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G244,Antireflux gastropexy,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G245,Gastroplasty and antireflux procedure HFQ,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G246,Insertion of Angelchick prosthesis,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G248,Other specified antireflux operations,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G249,Unspecified antireflux operations,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G25,Revision of antireflux operations,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G251,Revision of fundoplication of stomach,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G252,Adjustment to Angelchick prosthesis,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G253,Removal of Angelchick prosthesis,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G258,Other specified revision of antireflux operations,Procedure for Gastro-oesophageal reflux disease,,
Gastro-oesophageal reflux disease,G259,Unspecified revision of antireflux operations,Procedure for Gastro-oesophageal reflux disease,,
Anxiety disorders,,,Diagnosis of Anxiety disorders,F40,Phobic anxiety disorders
Anxiety disorders,,,Diagnosis of Anxiety disorders,F41,Other anxiety disorders
Nonrheumatic mitral valve disorders,,,Diagnosis of Nonrheumatic mitral valve disorders,I34,Nonrheumatic mitral valve disorders
Primary Malignancy_Pancreatic,,,Diagnosis of Primary Malignancy_Pancreatic,C25,Malignant neoplasm of pancreas
Hydrocoele (incl infected),,,Diagnosis of Hydrocoele (incl infected),N430,Encysted hydrocele
Hydrocoele (incl infected),,,Diagnosis of Hydrocoele (incl infected),N431,Infected hydrocele
Hydrocoele (incl infected),,,Diagnosis of Hydrocoele (incl infected),N432,Other hydrocele
Hydrocoele (incl infected),,,Diagnosis of Hydrocoele (incl infected),N433,"Hydrocele, unspecified"
Hydrocoele (incl infected),,,Diagnosis of Hydrocoele (incl infected),P835,Congenital hydrocele
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,A180,Tuberculosis of bones and joints
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,A544,Gonococcal infection of musculoskeletal system
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,B453,Osseous cryptococcosis
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,B672,Echinococcus granulosus infection of bone
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,B902,Sequelae of tuberculosis of bones and joints
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M00,Pyogenic arthritis
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M462,Osteomyelitis of vertebra
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M463,Infection of intervertebral disc (pyogenic)
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M464,"Discitis, unspecified"
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M465,Other infective spondylopathies
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M490,Tuberculosis of spine
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M491,Brucella spondylitis
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M492,Enterobacterial spondylitis
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M493,Spondylopathy in other infectious and parasitic diseases classified elsewhere
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M86,Osteomyelitis
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M900,Tuberculosis of bone
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M901,Periostitis in other infectious diseases classified elsewhere
Infection of bones and joints,,,Diagnosis of Infection of bones and joints,M902,Osteopathy in other infectious diseases classified elsewhere
End stage renal disease,,,Diagnosis of End stage renal disease,N185,"Chronic kidney disease, stage 5"
End stage renal disease,,,Procedure for End stage renal disease,T824,Mechanical complication of vascular dialysis catheter
End stage renal disease,,,Procedure for End stage renal disease,Y602,During kidney dialysis or other perfusion
End stage renal disease,,,Procedure for End stage renal disease,Y612,During kidney dialysis or other perfusion
End stage renal disease,,,Procedure for End stage renal disease,Y841,Kidney dialysis
End stage renal disease,,,Procedure for End stage renal disease,Z491,Extracorporeal dialysis
End stage renal disease,,,Procedure for End stage renal disease,Z492,Other dialysis
End stage renal disease,,,Procedure for End stage renal disease,Z992,Dependence on renal dialysis
End stage renal disease,,,Procedure for End stage renal disease,N165,Renal tubulo-interstitial disorders in transplant rejection
End stage renal disease,,,Procedure for End stage renal disease,T861,Kidney transplant failure and rejection
End stage renal disease,,,Procedure for End stage renal disease,Z940,Kidney transplant status
Bacterial sepsis of newborn,,,Diagnosis of Bacterial sepsis of newborn,P36,Bacterial sepsis of newborn
Aplastic anaemias,,,Diagnosis of Aplastic anaemias,D60,Acquired pure red cell aplasia [erythroblastopenia]
Aplastic anaemias,,,Diagnosis of Aplastic anaemias,D61,Other aplastic anaemias
Stroke NOS,,,Diagnosis of Stroke NOS,G463,Brain stem stroke syndrome
Stroke NOS,,,Diagnosis of Stroke NOS,G464,Cerebellar stroke syndrome
Stroke NOS,,,Diagnosis of Stroke NOS,G465,Pure motor lacunar syndrome
Stroke NOS,,,Diagnosis of Stroke NOS,G466,Pure sensory lacunar syndrome
Stroke NOS,,,Diagnosis of Stroke NOS,G467,Other lacunar syndromes
Stroke NOS,,,Diagnosis of Stroke NOS,G468,Other vascular syndromes of brain in cerebrovascular diseases
Stroke NOS,,,Diagnosis of Stroke NOS,I64,"Stroke, not specified as haemorrhage or infarction"
Stroke NOS,,,"History of stroke, not specified as haemorrhage or infarction",I694,"Sequelae of stroke, not specified as haemorrhage or infarction"
Non-acute cystitis,,,Diagnosis of Non-acute cystitis,N301,Interstitial cystitis (chronic)
Non-acute cystitis,,,Diagnosis of Non-acute cystitis,N302,Other chronic cystitis
Gout,,,Diagnosis of Gout,M10,Gout
Gout,,,Diagnosis of Gout,M140,Gouty arthropathy due to enzyme defects and other inherited disorders
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N000,Acute nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N001,Acute nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N002,Acute nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N003,Acute nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N004,Acute nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N005,Acute nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N006,Acute nephritic syndrome - Dense deposit disease
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N007,Acute nephritic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N008,Acute nephritic syndrome - Other
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N009,Acute nephritic syndrome - Unspecified
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N010,Rapidly progressive nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N011,Rapidly progressive nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N012,Rapidly progressive nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N013,Rapidly progressive nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N014,Rapidly progressive nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N015,Rapidly progressive nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N017,Rapidly progressive nephritic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N018,Rapidly progressive nephritic syndrome - Other
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N019,Rapidly progressive nephritic syndrome - Unspecified
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N020,Recurrent and persistent haematuria - Minor glomerular abnormality
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N021,Recurrent and persistent haematuria - Focal and segmental glomerular lesions
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N022,Recurrent and persistent haematuria - Diffuse membranous glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N023,Recurrent and persistent haematuria - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N024,Recurrent and persistent haematuria - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N025,Recurrent and persistent haematuria - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N026,Recurrent and persistent haematuria - Dense deposit disease
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N027,Recurrent and persistent haematuria - Diffuse crescentic glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N028,Recurrent and persistent haematuria - Other
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N029,Recurrent and persistent haematuria - Unspecified
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N030,Chronic nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N031,Chronic nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N032,Chronic nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N033,Chronic nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N034,Chronic nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N035,Chronic nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N036,Chronic nephritic syndrome - Dense deposit disease
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N037,Chronic nephritic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N038,Chronic nephritic syndrome - Other
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N039,Chronic nephritic syndrome - Unspecified
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N040,Nephrotic syndrome - Minor glomerular abnormality
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N041,Nephrotic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis,,,Diagnosis of Glomerulonephritis,N042,Nephrotic syndrome - Diffuse membranous glomerulonephritis
